,Word,count,anger,sad,anx,posemo,negemo,tone,total_counts,main_emotion,emotion,negative_emotion
1713,previous,7,2.577142857142857,0.0,0.3757142857142857,3.9285714285714284,3.8285714285714287,38.30714285714286,14,posemo,posemo,anger
1714,wealthy,7,4.037142857142857,0.0,0.5285714285714286,4.642857142857143,5.978571428571429,27.458571428571425,14,anger,negemo,anger
1715,disservice,7,2.202857142857143,0.0,0.33285714285714285,3.192857142857143,3.7871428571428574,37.50142857142857,14,anger,negemo,anger
1716,vague,7,1.2228571428571426,0.31,0.26999999999999996,2.5785714285714287,3.894285714285714,37.57857142857143,14,anger,negemo,anger
1717,track,7,2.5142857142857147,0.3485714285714286,0.0,2.347142857142857,4.481428571428571,25.092857142857145,14,anger,negemo,anger
1718,watching,7,0.7828571428571429,1.2899999999999998,1.1071428571428572,3.794285714285714,6.551428571428572,28.204285714285714,14,sad,negemo,sad
1719,successful,7,2.4585714285714286,0.9071428571428571,0.51,6.65142857142857,5.29,51.55285714285714,14,posemo,posemo,anger
1720,quickly,7,1.8914285714285715,0.0,1.44,2.0,4.571428571428571,22.185714285714287,14,anger,negemo,anger
1721,divorce,7,3.5985714285714283,0.40857142857142853,1.1400000000000001,3.958571428571428,5.908571428571428,28.20428571428571,14,anger,negemo,anger
1722,explanation,7,3.7128571428571426,0.0,0.0,3.3728571428571428,6.972857142857143,27.935714285714283,14,anger,negemo,anger
1723,yo,7,3.188571428571428,1.1428571428571428,0.6228571428571428,1.717142857142857,6.3500000000000005,17.041428571428572,14,anger,negemo,anger
1724,dozen,7,2.6028571428571428,0.0,0.0,2.5928571428571425,3.4914285714285707,26.19142857142857,14,anger,negemo,anger
1725,suck,7,7.621428571428572,0.26999999999999996,0.35714285714285715,3.072857142857143,9.512857142857143,8.077142857142857,14,anger,negemo,anger
1726,easily,7,3.4099999999999997,0.9228571428571428,0.2914285714285714,4.118571428571428,5.904285714285714,22.992857142857144,14,anger,negemo,anger
1727,performance,7,1.02,1.2985714285714285,0.0,6.361428571428571,2.6585714285714284,61.45714285714285,14,posemo,posemo,sad
1728,corner,7,3.9642857142857144,0.0,1.6014285714285716,1.455714285714286,6.6499999999999995,18.53857142857143,14,anger,negemo,anger
1729,tag,7,0.38571428571428573,0.29714285714285715,0.0,5.7942857142857145,0.6828571428571429,73.82714285714285,14,posemo,posemo,anger
1730,worthy,7,0.51,1.2985714285714285,1.2985714285714285,4.075714285714286,3.617142857142857,62.50285714285714,14,posemo,posemo,sad
1731,extent,7,0.9742857142857143,0.72,0.0,6.354285714285715,1.97,67.02285714285713,14,posemo,posemo,anger
1732,trap,7,1.0385714285714285,0.0,0.0,1.917142857142857,2.6371428571428566,23.0,14,anger,negemo,anger
1733,pile,7,0.937142857142857,1.312857142857143,0.8471428571428571,1.3542857142857143,4.628571428571428,14.398571428571428,14,sad,negemo,sad
1734,wont,7,3.4771428571428573,0.39714285714285713,0.9714285714285714,0.7299999999999999,6.594285714285715,5.414285714285714,14,anger,negemo,anger
1735,surgery,7,2.1185714285714288,0.0,0.27999999999999997,2.724285714285714,4.671428571428572,32.35285714285714,14,anger,negemo,anger
1736,collective,7,2.581428571428571,0.6085714285714285,1.217142857142857,1.5314285714285714,6.268571428571428,21.874285714285715,14,anger,negemo,anger
1737,pink,7,3.8957142857142855,0.29714285714285715,0.0,1.922857142857143,5.478571428571429,27.96857142857143,14,anger,negemo,anger
1738,practice,7,1.6157142857142859,0.0,0.55,1.9457142857142855,2.165714285714286,39.09142857142857,14,anger,negemo,anger
1739,dismiss,7,3.385714285714286,0.43285714285714283,0.0,2.107142857142857,4.797142857142857,14.557142857142855,14,anger,negemo,anger
1740,institutional,7,5.722857142857143,0.6442857142857142,0.0,2.152857142857143,7.314285714285715,32.29,14,anger,negemo,anger
1741,toward,7,1.3942857142857144,0.33285714285714285,0.9971428571428571,1.3728571428571428,3.357142857142857,22.305714285714288,14,anger,negemo,anger
1742,series,7,2.2385714285714284,0.0,0.0,3.0100000000000002,2.7142857142857144,40.11428571428571,14,posemo,posemo,anger
1743,importantly,6,1.5616666666666668,2.0366666666666666,0.0,4.468333333333333,5.968333333333333,29.718333333333334,12,sad,negemo,sad
1744,meant,6,1.6416666666666668,0.875,0.68,3.216666666666667,3.8783333333333334,22.978333333333335,12,anger,negemo,anger
1745,willey,6,1.3033333333333335,0.0,0.0,3.151666666666667,1.3033333333333335,56.415,12,posemo,posemo,anger
